Year,Name,Place,Lat,Long,Mass_KG
1974,Yamato 74053,Antarctica,-71.5,35.66666667,0.0885
1974,Yamato 74054,Antarctica,-71.8,36.28333333,0.1349
1974,Yamato 74055,Antarctica,-71.5,35.66666667,0.013
1974,Yamato 74056,Antarctica,-71.5,35.66666667,0.0191
1974,Yamato 74057,Antarctica,-71.5,35.66666667,0.0163
1974,Yamato 74058,Antarctica,-71.5,35.66666667,0.0197
1974,Yamato 74059,Antarctica,-71.5,35.66666667,0.0164
1974,Yamato 74061,Antarctica,-71.5,35.66666667,0.0093
1974,Yamato 74062,Antarctica,-71.5,35.66666667,0.0105
1974,Yamato 74063,Antarctica,-71.5,35.66666667,0.0354
1974,Yamato 74064,Antarctica,-71.5,35.66666667,0.002
1974,Yamato 74065,Antarctica,-71.78333333,36.28333333,0.0121
1974,Yamato 74066,Antarctica,-71.5,35.66666667,0.0124
1974,Yamato 74067,Antarctica,-71.5,35.66666667,0.004
1974,Yamato 74068,Antarctica,-71.5,35.66666667,0.0054
1974,Yamato 74069,Antarctica,-71.5,35.66666667,0.0186
1974,Yamato 74070,Antarctica,-71.8,36.4,0.0587
1974,Yamato 74071,Antarctica,-71.5,35.66666667,0.0176
1974,Yamato 74072,Antarctica,-71.5,35.66666667,0.029
1974,Yamato 74073,Antarctica,-71.8,36.41666667,0.0299
1974,Yamato 74074,Antarctica,-71.81666667,36.41666667,0.0542
1974,Yamato 74075,Antarctica,-71.5,35.66666667,0.0051
1974,Yamato 74076,Antarctica,-71.5,35.66666667,0.0204
1974,Yamato 74077,Antarctica,-71.83333333,36.35,5.58
1974,Yamato 74078,Antarctica,-71.5,35.66666667,0.0159
1974,Yamato 74079,Antarctica,-71.5,35.66666667,0.621
1974,Yamato 74080,Antarctica,-71.81666667,36.18333333,0.537
1974,Yamato 74081,Antarctica,-71.8,36.16666667,0.1025
1974,Yamato 74082,Antarctica,-71.8,36.16666667,0.1798
1974,Yamato 74083,Antarctica,-71.5,35.66666667,0.00331
1974,Yamato 74084,Antarctica,-71.5,35.66666667,0.00226
1974,Yamato 74085,Antarctica,-71.5,35.66666667,0.0305
1974,Yamato 74086,Antarctica,-71.5,35.66666667,0.00097
1974,Yamato 74087,Antarctica,-71.5,35.66666667,0.00078
1974,Yamato 74088,Antarctica,-71.5,35.66666667,0.0143
1974,Yamato 74089,Antarctica,-71.5,35.66666667,0.0434
1974,Yamato 74090,Antarctica,-71.5,35.66666667,0.00101
1974,Yamato 74091,Antarctica,-71.5,35.66666667,0.0023
1974,Yamato 74092,Antarctica,-71.5,35.66666667,0.00323
1974,Yamato 74093,Antarctica,-71.5,35.66666667,0.0066
1974,Yamato 74094,Antarctica,-71.78333333,36.23333333,0.867
1974,Yamato 74095,Antarctica,-71.5,35.66666667,0.0659
1974,Yamato 74096,Antarctica,-71.5,35.66666667,0.0162
1974,Yamato 74097,Antarctica,-71.81666667,36.31666667,2.19
1974,Yamato 74098,Antarctica,-71.5,35.66666667,0.0091
1974,Yamato 74099,Antarctica,-71.5,35.66666667,0.0274
1974,Yamato 74100,Antarctica,-71.5,35.66666667,0.0155
1974,Yamato 74101,Antarctica,-71.5,35.66666667,0.0091
1974,Yamato 74102,Antarctica,-71.5,35.66666667,0.00299
1974,Yamato 74103,Antarctica,-71.5,35.66666667,0.0216
1974,Yamato 74104,Antarctica,-71.5,35.66666667,0.0218
1974,Yamato 74105,Antarctica,-71.5,35.66666667,0.0257
1974,Yamato 74106,Antarctica,-71.8,36.46666667,0.1466
1974,Yamato 74107,Antarctica,-71.81666667,36.45,0.114
1974,Yamato 74108,Antarctica,-71.81666667,36.45,0.1393
1974,Yamato 74109,Antarctica,-71.5,35.66666667,0.0437
1974,Yamato 74110,Antarctica,-71.78333333,36.3,0.0901
1974,Yamato 74111,Antarctica,-71.5,35.66666667,0.058
1974,Yamato 74112,Antarctica,-71.5,35.66666667,0.0455
1974,Yamato 74113,Antarctica,-71.5,35.66666667,0.0282
1974,Yamato 74114,Antarctica,-71.5,35.66666667,0.0423
1974,Yamato 74115,Antarctica,-71.8,36.13333333,1.045
1974,Yamato 74116,Antarctica,-71.8,36.15,0.0689
1974,Yamato 74117,Antarctica,-71.5,35.66666667,0.0802
1974,Yamato 74118,Antarctica,-71.81666667,36.18333333,0.845
1974,Yamato 74119,Antarctica,-71.5,35.66666667,0.00436
1974,Yamato 74120,Antarctica,-71.81666667,36.2,0.0905
1974,Yamato 74121,Antarctica,-71.5,35.66666667,0.0085
1974,Yamato 74122,Antarctica,-71.5,35.66666667,0.0549
1974,Yamato 74123,Antarctica,-71.81666667,36.2,0.0699
1974,Yamato 74124,Antarctica,-71.81666667,36.2,0.0624
1974,Yamato 74125,Antarctica,-71.5,35.66666667,0.107
1974,Yamato 74126,Antarctica,-71.5,35.66666667,0.0145
1974,Yamato 74127,Antarctica,-71.5,35.66666667,0.0192
1974,Yamato 74128,Antarctica,-71.5,35.66666667,0.041
1974,Yamato 74129,Antarctica,-71.5,35.66666667,0.0066
1974,Yamato 74130,Antarctica,-71.8,36.25,0.0179
1974,Yamato 74131,Antarctica,-71.5,35.66666667,0.0181
1974,Yamato 74132,Antarctica,-71.5,35.66666667,0.00237
1974,Yamato 74133,Antarctica,-71.5,35.66666667,0.00336
1974,Yamato 74134,Antarctica,-71.5,35.66666667,0.00308
1974,Yamato 74135,Antarctica,-71.5,35.66666667,0.0078
1974,Yamato 74136,Antarctica,-71.5,35.66666667,0.725
1974,Yamato 74137,Antarctica,-71.5,35.66666667,0.0263
1974,Yamato 74138,Antarctica,-71.5,35.66666667,0.0229
1974,Yamato 74139,Antarctica,-71.5,35.66666667,0.0051
1974,Yamato 74140,Antarctica,-71.5,35.66666667,0.00429
1974,Yamato 74141,Antarctica,-71.5,35.66666667,0.0096
1974,Yamato 74142,Antarctica,-71.81666667,36.33333333,0.0295
1974,Yamato 74143,Antarctica,-71.5,35.66666667,0.00489
1974,Yamato 74144,Antarctica,-71.78333333,36.25,0.1414
1974,Yamato 74145,Antarctica,-71.5,35.66666667,0.0006
1974,Yamato 74146,Antarctica,-71.5,35.66666667,0.0086
1974,Yamato 74147,Antarctica,-71.5,35.66666667,0.0059
1974,Yamato 74148,Antarctica,-71.5,35.66666667,0.00102
1974,Yamato 74149,Antarctica,-71.5,35.66666667,0.0007
1974,Yamato 74150,Antarctica,-71.5,35.66666667,0.0336
1974,Yamato 74151,Antarctica,-71.5,35.66666667,0.0494
1974,Yamato 74152,Antarctica,-71.5,35.66666667,0.00392
1974,Yamato 74153,Antarctica,-71.5,35.66666667,0.0062
1974,Yamato 74154,Antarctica,-71.8,36.1,0.00284
1974,Yamato 74155,Antarctica,-71.81666667,36.11666667,3.07
1974,Yamato 74156,Antarctica,-71.5,35.66666667,0.715
1974,Yamato 74157,Antarctica,-71.5,35.66666667,0.0443
1974,Yamato 74158,Antarctica,-71.81666667,36.11666667,0.0915
1974,Yamato 74159,Antarctica,-71.75,36.06666667,0.0982
